Name,Pos X,Pos Y,TLF,ELW 1,DLK,RW,HLF,GW-Öl,GW-A,GW-S,Höh,Mess,GW-G,ELW 2,Dekon-P,FwK
München 1,48.132599,11.569784,3,0,1,0,0,1,0,0,0,0,0,1,0,0
BMW,48.181681,11.556751,2,0,0,0,0,0,0,0,0,0,0,0,0,0
München 7,48.186794,11.557363,2,1,1,0,0,0,0,1,0,0,0,0,1,0
Harthof,48.204423,11.555824,3,0,0,0,0,1,0,0,0,0,0,0,0,0
Feldmoching,48.215628,11.528865,2,1,0,0,1,0,0,0,0,0,0,0,0,0
Ludwigsfeld,48.200441,11.495178,3,0,1,0,0,0,0,0,0,0,0,0,0,0
Langwied,48.179425,11.423166,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Allach,48.193657,11.459496,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Krauss Maffei,48.196983,11.469311,2,1,0,1,0,0,0,0,0,0,0,0,0,0
MTU-MAN,48.216598,11.476071,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Ismaning,48.230182,11.67941,2,0,1,0,0,0,0,0,0,1,0,1,0,0
Garching,48.249473,11.656468,2,1,0,1,0,0,0,0,0,0,0,0,0,0
Hochbrück,48.24805,11.612463,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Helmholtz,48.224321,11.594416,2,1,1,0,0,0,0,0,0,0,0,0,0,0
Oberschleißheim,48.251016,11.562215,2,1,1,1,0,0,0,0,0,0,0,0,0,0
Badersfeld,48.259744,11.517529,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Riedmoos,48.264618,11.532418,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Unterschleißheim,48.282111,11.569546,3,0,0,1,0,0,0,0,0,0,0,0,0,0
Eching,48.297237,11.626893,2,1,1,0,1,0,0,0,0,0,0,0,0,0
TUM,48.260654,11.659034,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Dietersheim,48.281119,11.674522,2,1,0,0,1,0,0,0,0,0,0,0,0,0
Günzenhausen,48.322751,11.600344,2,1,1,0,0,0,0,0,0,0,0,0,0,0
Fürholzen,48.332726,11.617522,3,0,0,1,0,0,0,0,0,0,0,0,0,0
Neufahrn b. Freising,48.313627,11.671907,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Mintraching,48.319944,11.68816,2,0,1,1,0,0,0,0,0,0,0,0,0,0
Goldach,48.312307,11.756196,3,0,0,1,0,0,0,0,0,0,0,0,0,0
Hallbergmoos,48.32845,11.752339,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Hetzenhausen,48.349957,11.61051,2,0,1,0,1,0,0,0,0,0,0,0,0,0
Massenhausen,48.352444,11.636838,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Flughafen,48.347379,11.775766,2,1,1,0,1,1,0,0,0,0,1,0,1,1
Infineon,48.079657,11.616372,2,1,0,1,0,0,0,0,0,0,0,0,0,0
